"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"U3","XIAO-nRF52840-DIP","TopLayer","XIAO-nRF52840-DIP","50.3682","10.8966","180",""
"Y1","ASDK2-32.768KHZ-LRT","TopLayer","FP-ASDK-MFG","76.8125","13.0000","180","Oscillator XO 0.032768MHz ±25ppm 15pF CMOS 60% 1.8V 4-Pin SMD T/R"
"SKT1","CONN MICRO SD CARD R/A SMD-47219-2001","TopLayer","MOLX-47219-2001-8_V","19.0000","11.7496","90","MicroSD Card Connector, Hinge Type, -40 to 85 degC, 8-Pin SMD, RoHS, Tape and Reel"
"R3","0 Ohm 0.1W","TopLayer","RES_0603","84.3788","10.2616","270","Resistor SMD 0603
0 Ohms Jumper 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film"
"R7","22 Ohms ±1% 0.1W","TopLayer","RES_0603","38.5822","15.9636","180","22 Ohms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film"
"R6","22 Ohms ±1% 0.1W","TopLayer","RES_0603","38.5822","13.3868","180","22 Ohms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film"
"C16","1 µF ±10% 6.3v","TopLayer","CAP_0402","35.4894","7.7022","270","Capacitor SMD 0402
1 µF ±10% 6.3V Ceramic Capacitor X7R 0402 (1005 Metric)"
"C11","1 µF ±10% 6.3v","TopLayer","CAP_0402","79.0000","10.4755","270","Capacitor SMD 0402
1 µF ±10% 6.3V Ceramic Capacitor X7R 0402 (1005 Metric)"
"C2","1 µF ±10% 6.3v","TopLayer","CAP_0402","63.6250","7.1178","180","Capacitor SMD 0402
1 µF ±10% 6.3V Ceramic Capacitor X7R 0402 (1005 Metric)"
"C1","1 µF ±10% 6.3v","TopLayer","CAP_0402","63.5966","2.5332","180","Capacitor SMD 0402
1 µF ±10% 6.3V Ceramic Capacitor X7R 0402 (1005 Metric)"
"C17","10 µF ±10% 10V","TopLayer","CAP_0603","37.3882","7.4166","90","Capacitor SMD 0603
10 µF ±10% 10V Ceramic Capacitor X7R 0603"
"U2","MAX30003CTI+","TopLayer","QFN50P500X500X80-29N","72.1514","9.8485","90","AFE General Purpose 1 ADC 18bit 28-Pin TQFN EP Tray"
